R-peak,Heart-Rate
284,65.21739130434783
1204,65.21739130434783
2159,62.827225130890035
3189,58.25242718446603
4211,58.70841487279842
5188,61.41248720573187
6201,59.230009871668265
7232,58.195926285160056
8200,61.983471074380226
9158,62.6304801670146
10156,60.120240480961854
11198,57.58157389635318
12159,62.434963579604556
13140,61.16207951070337
14163,58.651026392961896
